layer,head,nmse,cos_sim
0,all,6.907609e-05,0.999973
0,0,5.993660e-05,0.999973
0,1,1.460156e-04,0.999930
0,2,3.167792e-05,0.999990
0,3,1.878897e-05,0.999994
0,4,6.531242e-05,0.999970
0,5,1.035265e-04,0.999951
0,6,5.135662e-05,0.999979
0,7,8.354236e-05,0.999949
0,8,6.126262e-05,0.999970
0,9,3.298401e-05,0.999983
0,10,1.264028e-05,0.999994
0,11,5.022242e-05,0.999973
0,12,1.540700e-05,0.999993
0,13,4.751824e-05,0.999973
1,all,2.087259e-04,0.999581
1,0,1.797116e-03,0.998809
1,1,1.379321e-03,0.999332
1,2,1.639266e-03,0.999061
1,3,1.423677e-03,0.999292
1,4,1.206946e-03,0.999171
1,5,9.475487e-04,0.999505
1,6,1.333760e-03,0.999110
1,7,1.068889e-05,0.999995
1,8,6.162245e-05,0.999970
1,9,1.383760e-04,0.999933
1,10,2.392742e-05,0.999989
1,11,4.366213e-05,0.999980
1,12,1.206873e-05,0.999994
1,13,8.408848e-06,0.999996
2,all,5.415460e-05,0.999976
2,0,5.447741e-05,0.999972
2,1,6.806538e-05,0.999964
2,2,4.128849e-05,0.999981
2,3,7.045711e-05,0.999966
2,4,5.147665e-05,0.999973
2,5,4.121578e-05,0.999982
2,6,5.023541e-05,0.999974
2,7,5.473865e-05,0.999978
2,8,5.514679e-05,0.999975
2,9,5.099634e-05,0.999981
2,10,4.551711e-05,0.999978
2,11,5.138836e-05,0.999978
2,12,5.424367e-05,0.999973
2,13,3.721395e-05,0.999985
3,all,1.976138e-03,0.998349
3,0,2.328481e-03,0.996606
3,1,7.230839e-04,0.999736
3,2,1.852062e-03,0.998144
3,3,7.380391e-04,0.999712
3,4,4.600089e-03,0.995473
3,5,5.266730e-03,0.997864
3,6,6.243180e-04,0.999729
3,7,5.868042e-03,0.997689
3,8,1.874461e-03,0.998542
3,9,1.887442e-03,0.998632
3,10,1.770952e-03,0.999351
3,11,2.388571e-03,0.998486
3,12,3.024003e-03,0.998348
3,13,2.355031e-03,0.998569
4,all,1.531533e-03,0.999098
4,0,2.998988e-03,0.998417
4,1,2.880997e-03,0.998646
4,2,9.613643e-04,0.999808
4,3,2.848187e-03,0.998586
4,4,3.660933e-03,0.998347
4,5,2.578834e-03,0.998655
4,6,3.377655e-03,0.998646
4,7,6.279172e-04,0.999694
4,8,1.164710e-03,0.999476
4,9,1.227673e-03,0.999473
4,10,2.757939e-03,0.998846
4,11,1.849234e-03,0.999153
4,12,5.539190e-04,0.999931
4,13,6.627482e-04,0.999691
5,all,1.406776e-03,0.999164
5,0,2.348054e-03,0.998683
5,1,2.599734e-03,0.998690
5,2,2.286872e-03,0.998585
5,3,1.797959e-03,0.998991
5,4,1.722824e-03,0.998837
5,5,1.939438e-03,0.998890
5,6,2.757848e-03,0.999331
5,7,8.986448e-04,0.999447
5,8,3.095359e-04,0.999820
5,9,1.071442e-03,0.999675
5,10,1.906632e-03,0.999079
5,11,1.616727e-03,0.999207
5,12,1.520187e-03,0.999262
5,13,3.396247e-04,0.999799
6,all,1.122356e-03,0.999462
6,0,3.335165e-04,0.999811
